Pos,2P,FT,TRB,AST,STL,PTS
PF,0.55 ,0.0 ,0 ,0 ,0 ,1 
SF,0.52 ,0.7 ,6 ,5 ,2 ,19 
C,0.48 ,0.8 ,6 ,1 ,0 ,13 
C,0.48 ,0.9 ,0 ,0 ,0 ,3 
PG-SG,0.44 ,0.8 ,2 ,4 ,1 ,18 
SG,0.50 ,0.7 ,0 ,0 ,0 ,19 
PG,0.43 ,0.8 ,2 ,3 ,1 ,17 
SG,0.32 ,0.8 ,1 ,1 ,0 ,3 
SG,0.49 ,0.9 ,3 ,4 ,1 ,13 
PG,0.46 ,0.9 ,3 ,2 ,1 ,8 
PF,0.44 ,0.7 ,1 ,0 ,0 ,2 
SF,0.45 ,0.8 ,4 ,5 ,1 ,21 
C,0.38 ,,0 ,0 ,0 ,3 
SF,0.54 ,0.8 ,8 ,7 ,2 ,28 
PG,0.39 ,0.8 ,2 ,3 ,1 ,9 
PG,0.24 ,0.5 ,0 ,0 ,0 ,3 
PG,0.40 ,0.8 ,2 ,2 ,1 ,10 
PF,0.50 ,0.8 ,9 ,2 ,1 ,22 
SG,0.32 ,0.7 ,1 ,1 ,0 ,3 
PF,0.25 ,,0 ,0 ,0 ,0 
C,0.50 ,0.7 ,7 ,1 ,0 ,23 
SG,0.50 ,0.7 ,0 ,0 ,0 ,5 
SF,0.45 ,0.8 ,5 ,2 ,1 ,20 
SF,0.46 ,0.6 ,3 ,1 ,1 ,5 
PF,0.40 ,0.8 ,4 ,1 ,0 ,9 
PF,0.60 ,0.7 ,3 ,0 ,0 ,4 
PG,0.41 ,0.8 ,2 ,3 ,1 ,5 
SG,0.47 ,0.8 ,4 ,6 ,1 ,21 
PF,0.33 ,,0 ,0 ,0 ,1 
PF,,,0 ,0 ,0 ,0 
PF,0.33 ,,0 ,0 ,0 ,1 
SG,0.00 ,1.0 ,0 ,0 ,0 ,1 
SG,0.45 ,0.7 ,2 ,1 ,1 ,5 
PG,0.00 ,,0 ,0 ,0 ,2 
PF,0.57 ,0.7 ,0 ,0 ,0 ,2 
SF,0.44 ,0.8 ,2 ,2 ,1 ,7 
SF,0.42 ,0.8 ,1 ,0 ,0 ,4 
C,0.61 ,0.7 ,2 ,0 ,0 ,3 
C,0.63 ,0.4 ,3 ,0 ,0 ,4 
C,0.53 ,0.7 ,3 ,1 ,0 ,12 
SG,0.44 ,0.8 ,2 ,1 ,0 ,8 
PG,0.43 ,0.8 ,6 ,9 ,2 ,9 
SG,0.47 ,0.9 ,0 ,0 ,0 ,2 
PF,0.48 ,0.8 ,4 ,2 ,1 ,12 
SF,0.53 ,0.7 ,4 ,1 ,0 ,10 
PG,0.36 ,0.8 ,1 ,2 ,1 ,2 
SF,0.49 ,0.9 ,3 ,2 ,1 ,9 
C,0.51 ,0.7 ,2 ,0 ,0 ,5 
C,0.47 ,0.8 ,3 ,0 ,0 ,10 
SF,0.39 ,0.8 ,1 ,0 ,0 ,4 
PF,0.58 ,0.8 ,4 ,0 ,0 ,9 
PG,0.39 ,0.8 ,1 ,1 ,0 ,3 
SG,0.48 ,0.8 ,2 ,1 ,1 ,8 
C,0.55 ,0.8 ,12 ,2 ,1 ,16 
PF,0.48 ,0.8 ,6 ,3 ,1 ,18 
PG,0.52 ,0.9 ,0 ,0 ,0 ,6 
PG,0.38 ,0.8 ,0 ,0 ,0 ,2 
PG,0.54 ,1.0 ,0 ,0 ,0 ,8 
C,0.53 ,0.8 ,8 ,1 ,1 ,13 
C,0.52 ,0.7 ,1 ,0 ,0 ,3 
C,0.47 ,0.8 ,9 ,1 ,0 ,11 
PG,0.49 ,0.8 ,2 ,3 ,1 ,8 
PG,0.47 ,0.8 ,1 ,2 ,1 ,8 
PG,0.52 ,0.8 ,1 ,1 ,0 ,8 
PG,0.44 ,0.7 ,1 ,1 ,0 ,4 
PG,0.45 ,0.8 ,0 ,1 ,0 ,5 
PG,0.42 ,0.7 ,0 ,0 ,0 ,3 
C,0.21 ,0.0 ,0 ,0 ,0 ,0 
PF,0.50 ,0.8 ,4 ,1 ,1 ,19 
C,0.50 ,0.5 ,3 ,0 ,0 ,3 
PG,0.37 ,0.5 ,0 ,1 ,0 ,4 
SF,0.51 ,0.8 ,7 ,2 ,1 ,13 
SF,0.51 ,0.8 ,5 ,1 ,1 ,12 
SF,0.50 ,0.8 ,3 ,1 ,0 ,14 
C,0.50 ,0.7 ,2 ,0 ,0 ,3 
PF,0.44 ,0.5 ,1 ,0 ,0 ,4 
SF,0.41 ,0.8 ,0 ,0 ,0 ,3 
PF,0.50 ,0.6 ,5 ,2 ,1 ,12 
SG,0.42 ,0.9 ,2 ,2 ,1 ,25 
SG,0.44 ,0.5 ,2 ,1 ,0 ,8 
SG,0.43 ,0.9 ,3 ,2 ,1 ,12 
C,0.58 ,0.5 ,4 ,0 ,0 ,6 
PF,0.39 ,0.7 ,1 ,0 ,0 ,4 
SG,0.46 ,0.9 ,4 ,3 ,1 ,19 
PF,0.47 ,0.7 ,6 ,1 ,1 ,7 
SG,0.43 ,0.8 ,1 ,1 ,1 ,10 
SG,0.39 ,0.7 ,1 ,0 ,0 ,9 
SG,0.49 ,0.8 ,1 ,0 ,0 ,10 
PF,0.51 ,0.7 ,8 ,1 ,1 ,10 
C,0.49 ,0.7 ,4 ,0 ,0 ,7 
SG,0.39 ,0.8 ,2 ,2 ,1 ,16 
SF,0.43 ,0.7 ,5 ,2 ,1 ,5 
PF,0.48 ,0.8 ,1 ,0 ,0 ,2 
PF,0.39 ,0.7 ,1 ,0 ,0 ,5 
PF,0.71 ,0.7 ,0 ,0 ,0 ,5 
PF,0.36 ,0.7 ,1 ,0 ,0 ,5 
C,0.38 ,0.9 ,0 ,0 ,0 ,2 
SG,0.51 ,0.9 ,2 ,1 ,1 ,9 
SF,0.51 ,0.7 ,1 ,0 ,0 ,4 
C,0.52 ,0.6 ,3 ,0 ,0 ,6 
PG,0.48 ,0.8 ,5 ,7 ,1 ,16 
C,0.48 ,0.8 ,7 ,3 ,1 ,12 
C,0.48 ,0.8 ,4 ,2 ,0 ,12 
C,0.49 ,0.9 ,3 ,1 ,0 ,12 
SF,0.55 ,0.7 ,6 ,4 ,0 ,10 
PF,0.54 ,0.7 ,8 ,2 ,1 ,14 
C,0.55 ,0.9 ,10 ,2 ,0 ,20 
SG,0.46 ,0.7 ,0 ,0 ,0 ,14 
C,0.41 ,0.6 ,1 ,0 ,0 ,3 
SF,0.54 ,0.9 ,5 ,1 ,1 ,7 
SF,0.54 ,0.8 ,3 ,1 ,1 ,7 
SF,0.54 ,0.9 ,1 ,0 ,0 ,7 
PF-C,0.55 ,0.8 ,3 ,1 ,0 ,4 
PF,0.52 ,0.8 ,2 ,0 ,0 ,4 
C,0.60 ,0.7 ,1 ,0 ,0 ,5 
C,0.41 ,1.0 ,0 ,0 ,0 ,1 
SF,0.38 ,0.7 ,1 ,1 ,0 ,4 
SF,0.38 ,0.8 ,1 ,0 ,0 ,5 
SF,0.38 ,0.5 ,0 ,0 ,0 ,1 
SG,0.48 ,0.9 ,2 ,1 ,0 ,10 
PF,0.50 ,0.8 ,11 ,2 ,1 ,14 
SG,0.49 ,0.8 ,2 ,2 ,1 ,12 
C,0.39 ,0.7 ,0 ,0 ,0 ,2 
PF,0.57 ,0.4 ,1 ,0 ,0 ,3 
PG,0.53 ,0.9 ,3 ,9 ,1 ,16 
PG,0.47 ,0.4 ,0 ,0 ,0 ,4 
PG,0.53 ,0.9 ,2 ,3 ,1 ,17 
C,0.51 ,0.8 ,3 ,1 ,0 ,7 
SF,0.43 ,0.5 ,0 ,0 ,0 ,2 
SF,0.33 ,,0 ,0 ,0 ,1 
SF,0.50 ,0.5 ,0 ,0 ,0 ,3 
C,0.56 ,0.7 ,8 ,1 ,1 ,7 
PF-SF,0.45 ,0.8 ,5 ,1 ,0 ,11 
PF,0.45 ,0.8 ,3 ,1 ,0 ,10 
SF,0.45 ,0.8 ,2 ,1 ,0 ,14 
PF,0.52 ,0.9 ,2 ,1 ,0 ,7 
PF,0.49 ,0.9 ,9 ,2 ,1 ,26 
C,0.55 ,0.6 ,1 ,0 ,0 ,3 
C,0.52 ,0.7 ,0 ,0 ,0 ,2 
C,0.57 ,0.4 ,0 ,0 ,0 ,5 
C,0.48 ,0.8 ,5 ,2 ,0 ,13 
C,0.47 ,0.8 ,4 ,1 ,0 ,14 
C,0.48 ,0.8 ,2 ,1 ,0 ,13 
C,0.61 ,0.6 ,8 ,2 ,1 ,18 
C,0.59 ,0.6 ,2 ,1 ,0 ,3 
C,0.56 ,0.6 ,5 ,0 ,0 ,9 
PF,0.52 ,0.6 ,8 ,3 ,1 ,11 
C,0.56 ,0.6 ,10 ,1 ,1 ,13 
C,0.50 ,0.8 ,7 ,2 ,1 ,17 
PG,0.41 ,0.8 ,1 ,1 ,0 ,4 
SF,0.48 ,0.7 ,4 ,1 ,1 ,13 
C,0.50 ,0.7 ,5 ,1 ,0 ,6 
SG,0.44 ,0.8 ,4 ,3 ,1 ,11 
PG,0.52 ,0.8 ,3 ,6 ,1 ,22 
PG,0.53 ,0.9 ,5 ,11 ,3 ,23 
SF,0.43 ,0.5 ,2 ,1 ,0 ,5 
C,0.43 ,0.8 ,1 ,0 ,0 ,4 
C,0.58 ,0.6 ,8 ,1 ,0 ,9 
SG,0.41 ,0.6 ,1 ,0 ,0 ,4 
C,0.42 ,0.6 ,2 ,0 ,0 ,3 
C,0.41 ,0.7 ,1 ,0 ,0 ,5 
C,0.44 ,0.4 ,1 ,0 ,0 ,2 
SF,0.48 ,0.8 ,6 ,4 ,1 ,21 
SG,0.47 ,0.7 ,2 ,1 ,0 ,9 
SG,0.48 ,0.8 ,5 ,1 ,1 ,9 
PF,0.52 ,0.7 ,4 ,1 ,0 ,8 
PF,0.44 ,0.8 ,2 ,0 ,0 ,4 
PG,0.41 ,0.8 ,1 ,1 ,0 ,4 
SF,0.46 ,0.8 ,6 ,3 ,1 ,14 
SG,0.32 ,0.8 ,1 ,0 ,0 ,2 
C,0.63 ,0.7 ,9 ,0 ,0 ,6 
PG,0.41 ,0.8 ,1 ,2 ,0 ,5 
SF,0.45 ,0.7 ,3 ,1 ,1 ,7 
SF,0.45 ,0.9 ,1 ,0 ,0 ,6 
SF,0.44 ,0.6 ,1 ,1 ,0 ,8 
PF,0.47 ,0.7 ,5 ,1 ,1 ,8 
PF,0.58 ,0.3 ,0 ,0 ,0 ,2 
PF-C,0.49 ,0.7 ,6 ,1 ,1 ,21 
C,0.46 ,0.8 ,2 ,0 ,0 ,21 
PF,0.50 ,0.7 ,5 ,1 ,0 ,21 
C,0.53 ,0.6 ,2 ,0 ,0 ,2 
SG,0.50 ,0.8 ,1 ,1 ,0 ,21 
SG,0.42 ,0.9 ,1 ,1 ,0 ,6 
SG,0.52 ,0.8 ,4 ,2 ,1 ,17 
SG,0.44 ,0.7 ,1 ,0 ,0 ,19 
SG,0.55 ,0.8 ,3 ,1 ,1 ,16 
SF,0.25 ,0.5 ,0 ,0 ,0 ,3 
SG,0.42 ,0.8 ,4 ,1 ,1 ,10 
PG,0.42 ,0.9 ,3 ,5 ,1 ,10 
PG,0.46 ,1.0 ,0 ,0 ,0 ,4 
PG,0.47 ,1.0 ,0 ,0 ,0 ,5 
PG,0.43 ,,0 ,0 ,0 ,2 
PG,0.50 ,0.8 ,4 ,4 ,1 ,17 
PG,0.43 ,0.8 ,2 ,4 ,1 ,5 
PG,0.52 ,0.6 ,5 ,8 ,2 ,12 
PG,0.49 ,0.8 ,4 ,6 ,1 ,17 
SF-PF,0.36 ,0.8 ,1 ,0 ,0 ,3 
PF,0.30 ,0.7 ,0 ,0 ,0 ,2 
SF,0.39 ,0.8 ,1 ,0 ,0 ,5 
SF,0.39 ,0.8 ,2 ,1 ,0 ,4 
SG,0.50 ,0.8 ,5 ,5 ,1 ,23 
PF,0.29 ,1.0 ,0 ,0 ,0 ,1 
SG,0.45 ,0.7 ,3 ,1 ,0 ,8 
SG,0.40 ,1.0 ,0 ,0 ,0 ,2 
SF,0.49 ,0.8 ,4 ,3 ,1 ,18 
SF,0.49 ,0.8 ,3 ,2 ,1 ,18 
SF,0.50 ,0.8 ,1 ,1 ,0 ,18 
C,0.21 ,0.4 ,0 ,0 ,0 ,1 
C,0.17 ,,0 ,0 ,0 ,1 
C,0.29 ,0.6 ,0 ,0 ,0 ,1 
C,0.00 ,0.0 ,0 ,0 ,0 ,0 
C,0.45 ,0.9 ,1 ,0 ,0 ,4 
PF,0.53 ,0.8 ,9 ,2 ,1 ,13 
SF-SG,0.47 ,0.8 ,3 ,1 ,1 ,6 
SF,0.49 ,0.8 ,2 ,1 ,0 ,5 
SG,0.46 ,0.8 ,1 ,1 ,1 ,9 
C,0.67 ,0.8 ,0 ,0 ,0 ,3 
C,0.71 ,0.8 ,0 ,0 ,0 ,3 
C,0.50 ,1.0 ,0 ,0 ,0 ,3 
PG,0.46 ,0.8 ,3 ,6 ,1 ,12 
PF,0.44 ,0.0 ,0 ,0 ,0 ,1 
SF,0.45 ,0.7 ,3 ,1 ,1 ,8 
PF,0.44 ,0.4 ,0 ,0 ,0 ,2 
PF,0.52 ,0.4 ,0 ,0 ,0 ,3 
PF,0.00 ,0.5 ,0 ,0 ,0 ,0 
C,0.50 ,,0 ,0 ,0 ,3 
C,,,0 ,0 ,0 ,0 
C,0.50 ,,0 ,0 ,0 ,6 
PG,0.35 ,0.9 ,0 ,0 ,0 ,2 
PG,0.30 ,1.0 ,0 ,0 ,0 ,3 
PG,0.39 ,0.8 ,0 ,0 ,0 ,2 
PF,0.58 ,0.9 ,3 ,0 ,0 ,5 
PF,0.45 ,0.6 ,3 ,0 ,0 ,4 
PF,0.56 ,0.7 ,4 ,1 ,0 ,10 
SG,0.49 ,0.8 ,4 ,3 ,1 ,15 
C,0.47 ,0.7 ,3 ,1 ,0 ,7 
C,0.45 ,0.7 ,2 ,0 ,0 ,7 
C,0.50 ,0.8 ,1 ,0 ,0 ,7 
PF,0.51 ,0.6 ,6 ,2 ,1 ,16 
PG,0.48 ,0.7 ,1 ,2 ,0 ,5 
PG,0.52 ,0.8 ,1 ,2 ,0 ,5 
PG,0.37 ,0.5 ,0 ,0 ,0 ,5 
C,0.53 ,0.9 ,3 ,1 ,1 ,7 
C,0.51 ,0.8 ,4 ,0 ,0 ,8 
SG,0.32 ,1.0 ,0 ,0 ,0 ,4 
SG,0.36 ,0.5 ,1 ,1 ,0 ,7 
SF,0.42 ,0.9 ,3 ,1 ,1 ,13 
PF,0.54 ,0.8 ,5 ,1 ,1 ,21 
PG,0.45 ,0.8 ,3 ,5 ,1 ,13 
C,0.52 ,0.8 ,1 ,0 ,0 ,3 
PF,0.42 ,0.5 ,1 ,0 ,0 ,3 
PF,0.60 ,0.5 ,0 ,0 ,0 ,4 
PF,0.35 ,0.5 ,0 ,0 ,0 ,3 
SF,0.48 ,0.8 ,3 ,1 ,0 ,7 
PG,0.43 ,0.7 ,1 ,1 ,0 ,6 
PG,0.40 ,0.8 ,2 ,4 ,1 ,10 
SG,0.53 ,0.9 ,2 ,3 ,1 ,20 
C,0.49 ,0.7 ,1 ,0 ,0 ,3 
PF,0.38 ,,0 ,0 ,0 ,1 
PF,0.51 ,0.8 ,5 ,1 ,0 ,4 
PF,0.45 ,0.7 ,3 ,1 ,0 ,9 
PF,0.40 ,0.6 ,1 ,0 ,0 ,10 
PF,0.50 ,0.8 ,1 ,1 ,0 ,10 
PF,0.36 ,0.7 ,1 ,0 ,0 ,6 
PF,0.45 ,0.8 ,6 ,1 ,1 ,11 
PF,0.50 ,0.7 ,8 ,1 ,1 ,11 
SF,0.46 ,0.8 ,5 ,1 ,1 ,17 
PF,0.42 ,0.5 ,1 ,0 ,0 ,3 
SG,0.45 ,0.8 ,0 ,0 ,0 ,5 
C,0.51 ,0.8 ,5 ,2 ,0 ,6 
SF,0.45 ,0.8 ,5 ,5 ,1 ,17 
SF,0.43 ,0.6 ,2 ,1 ,0 ,4 
PG,0.49 ,0.8 ,3 ,4 ,1 ,11 
PG,0.43 ,0.7 ,1 ,2 ,0 ,4 
PF,0.54 ,0.6 ,7 ,1 ,1 ,9 
PG,0.31 ,0.9 ,0 ,1 ,0 ,2 
PF,0.48 ,0.8 ,7 ,2 ,1 ,16 
C,0.27 ,0.8 ,1 ,0 ,0 ,1 
SG,0.42 ,0.9 ,2 ,1 ,1 ,6 
SG,0.52 ,0.8 ,5 ,7 ,2 ,30 
SG,0.47 ,0.8 ,1 ,1 ,1 ,10 
SF,0.63 ,0.7 ,0 ,0 ,0 ,3 
PF,0.45 ,0.4 ,5 ,1 ,1 ,3 
SF,0.52 ,0.8 ,7 ,2 ,2 ,17 
C,0.47 ,0.8 ,6 ,1 ,1 ,12 
SF,0.47 ,0.7 ,2 ,2 ,0 ,5 
PF,0.50 ,0.7 ,5 ,1 ,1 ,12 
PG,0.47 ,0.9 ,2 ,3 ,1 ,10 
PG,0.42 ,0.8 ,2 ,5 ,1 ,7 
SG,0.53 ,0.7 ,2 ,1 ,1 ,5 
SF,,,0 ,0 ,0 ,0 
SG,0.36 ,0.4 ,0 ,0 ,0 ,2 
PF,0.48 ,0.9 ,8 ,2 ,1 ,21 
SG,0.49 ,0.8 ,3 ,3 ,1 ,12 
SG,0.39 ,0.5 ,1 ,0 ,0 ,1 
PG,0.42 ,0.8 ,5 ,5 ,1 ,15 
PF,0.52 ,0.8 ,0 ,0 ,0 ,9 
SF,0.67 ,,0 ,0 ,0 ,2 
C,0.50 ,0.6 ,3 ,1 ,0 ,7 
C,0.49 ,0.6 ,2 ,0 ,0 ,8 
C,0.54 ,0.5 ,1 ,0 ,0 ,5 
SG,0.36 ,0.8 ,1 ,0 ,0 ,5 
PG,0.52 ,0.8 ,2 ,9 ,1 ,19 
SF,0.50 ,,0 ,0 ,0 ,1 
SG,0.44 ,0.8 ,2 ,3 ,1 ,13 
PG,0.18 ,0.3 ,0 ,0 ,0 ,1 
PF,1.00 ,,0 ,0 ,0 ,2 
SF,0.49 ,0.8 ,5 ,1 ,1 ,14 
PG,0.49 ,0.9 ,3 ,4 ,1 ,18 
PF,0.42 ,0.6 ,1 ,0 ,0 ,2 
SF,0.39 ,0.8 ,1 ,0 ,0 ,3 
PF,0.45 ,0.7 ,2 ,0 ,0 ,4 
PF,0.46 ,0.8 ,1 ,0 ,0 ,4 
PF,0.44 ,0.7 ,1 ,0 ,0 ,5 
SF,0.40 ,0.7 ,4 ,3 ,1 ,17 
SF,0.48 ,0.7 ,2 ,1 ,1 ,7 
PF,0.54 ,0.7 ,2 ,0 ,0 ,8 
SF,0.40 ,0.3 ,0 ,0 ,0 ,3 
SF,0.50 ,0.6 ,2 ,1 ,0 ,4 
C,0.37 ,0.4 ,0 ,0 ,0 ,1 
SG,0.47 ,0.9 ,2 ,1 ,0 ,11 
PF,0.53 ,0.7 ,5 ,1 ,1 ,15 
SG,0.60 ,,0 ,0 ,0 ,1 
SG,0.49 ,0.7 ,3 ,2 ,1 ,9 
C,0.50 ,0.0 ,0 ,0 ,0 ,2 
PF,0.50 ,0.8 ,8 ,2 ,1 ,18 
SF,0.20 ,0.7 ,0 ,0 ,0 ,1 
PF,0.41 ,0.9 ,1 ,0 ,0 ,2 
SG,0.56 ,0.9 ,3 ,3 ,1 ,16 
SG,0.52 ,0.6 ,2 ,1 ,1 ,6 
PG,0.35 ,0.7 ,2 ,2 ,1 ,8 
PG,0.35 ,0.8 ,1 ,1 ,0 ,10 
PG,0.34 ,0.6 ,1 ,1 ,0 ,7 
PF,0.55 ,0.5 ,4 ,0 ,0 ,5 
PF,0.57 ,0.7 ,6 ,0 ,1 ,6 
C,0.46 ,0.7 ,3 ,1 ,0 ,6 
SF,0.33 ,,0 ,0 ,0 ,2 
PF,0.51 ,0.9 ,3 ,0 ,0 ,8 
SF,0.48 ,0.8 ,6 ,3 ,1 ,28 
C,0.48 ,0.7 ,3 ,0 ,0 ,3 
PG,0.44 ,0.7 ,2 ,3 ,1 ,23 
SF,0.44 ,0.6 ,5 ,3 ,2 ,15 
PF-C,0.36 ,0.5 ,1 ,0 ,0 ,2 
PF,0.38 ,0.5 ,1 ,0 ,0 ,3 
C,0.33 ,1.0 ,0 ,0 ,0 ,2 
C,0.31 ,0.0 ,0 ,0 ,0 ,1 
PG,0.49 ,0.8 ,2 ,3 ,0 ,6 
PF,0.43 ,0.6 ,1 ,0 ,0 ,5 
PG,0.42 ,0.9 ,0 ,1 ,0 ,4 
PG,0.38 ,0.8 ,1 ,2 ,1 ,6 
C,0.66 ,0.9 ,1 ,0 ,0 ,3 
SF,0.62 ,0.7 ,1 ,0 ,0 ,14 
SF,0.55 ,0.3 ,0 ,0 ,0 ,1 
PG,0.65 ,0.8 ,0 ,0 ,0 ,5 
PG,0.49 ,0.9 ,1 ,1 ,0 ,10 
PG,0.48 ,0.8 ,2 ,3 ,0 ,8 
PF,0.51 ,0.8 ,6 ,1 ,0 ,17 
SF,0.59 ,0.7 ,6 ,2 ,1 ,9 
C,0.44 ,0.8 ,1 ,0 ,0 ,12 
PF,0.51 ,0.8 ,2 ,0 ,0 ,6 
C,0.36 ,0.7 ,0 ,0 ,0 ,2 
SG,0.46 ,0.7 ,4 ,2 ,1 ,8 
SF,0.63 ,0.8 ,2 ,1 ,0 ,10 
SG,0.44 ,0.8 ,2 ,2 ,0 ,9 
PF,0.47 ,0.8 ,6 ,1 ,1 ,15 
PG,0.58 ,0.8 ,1 ,1 ,0 ,7 
SG,0.43 ,0.8 ,1 ,1 ,1 ,7 
SG,0.40 ,0.7 ,2 ,1 ,0 ,7 
SG,0.47 ,1.0 ,0 ,0 ,0 ,12 
SG,0.48 ,1.0 ,0 ,0 ,0 ,12 
SG,0.33 ,,0 ,0 ,0 ,11 
SF,0.43 ,0.9 ,1 ,0 ,0 ,5 
PG,0.44 ,0.9 ,2 ,4 ,1 ,9 
C,0.59 ,0.2 ,3 ,1 ,0 ,5 
PG,0.44 ,0.9 ,3 ,5 ,1 ,20 
PF,0.56 ,0.5 ,7 ,1 ,1 ,8 
PG,0.44 ,0.8 ,2 ,5 ,1 ,7 
PG,0.44 ,0.8 ,1 ,3 ,0 ,8 
PG,0.45 ,0.8 ,1 ,2 ,0 ,7 
PF,0.49 ,0.7 ,6 ,2 ,1 ,14 
SF,0.49 ,0.7 ,2 ,1 ,1 ,4 
C,0.52 ,0.6 ,9 ,2 ,0 ,16 
PF,0.54 ,0.7 ,3 ,1 ,0 ,7 
PF,0.53 ,0.3 ,4 ,0 ,0 ,4 
PF,0.56 ,0.7 ,11 ,3 ,1 ,20 
C,0.52 ,0.8 ,9 ,2 ,1 ,24 
SF,1.00 ,1.0 ,0 ,0 ,0 ,4 
PG,0.45 ,0.9 ,1 ,2 ,0 ,7 
PF,0.48 ,0.7 ,6 ,1 ,1 ,13 
SG,0.46 ,0.6 ,3 ,2 ,1 ,13 
SG,0.51 ,0.6 ,2 ,2 ,1 ,9 
SG,0.51 ,0.6 ,2 ,2 ,1 ,10 
SG,0.23 ,0.8 ,0 ,0 ,0 ,2 
C,0.35 ,0.2 ,0 ,0 ,0 ,1 
C,0.15 ,0.5 ,0 ,0 ,0 ,1 
C,0.54 ,0.0 ,0 ,0 ,0 ,1 
PF,0.53 ,0.6 ,3 ,0 ,0 ,3 
PG,0.45 ,0.8 ,3 ,5 ,1 ,20 
PG,0.45 ,0.9 ,0 ,1 ,0 ,5 
PG,0.50 ,1.0 ,0 ,1 ,0 ,7 
PG,0.36 ,0.7 ,0 ,1 ,0 ,3 
SF,0.47 ,0.7 ,1 ,0 ,0 ,3 
SG,0.40 ,0.8 ,2 ,1 ,0 ,8 
SG,0.42 ,0.8 ,1 ,1 ,0 ,10 
SG,0.21 ,,0 ,0 ,0 ,2 
C,0.50 ,0.3 ,2 ,0 ,0 ,3 
SG,0.47 ,0.8 ,2 ,1 ,1 ,8 
SG,0.49 ,0.8 ,5 ,5 ,1 ,27 
SF,0.50 ,0.8 ,3 ,1 ,0 ,9 
SF-SG,0.45 ,0.8 ,6 ,2 ,1 ,16 
SF,0.45 ,0.9 ,4 ,1 ,1 ,17 
SG,0.46 ,0.8 ,2 ,1 ,1 ,15 
SF,0.48 ,0.8 ,3 ,1 ,0 ,12 
C,0.57 ,0.7 ,7 ,1 ,0 ,15 
PG,0.47 ,0.8 ,2 ,4 ,1 ,10 
PG,0.52 ,0.8 ,2 ,5 ,1 ,10 
PF-C,0.48 ,0.6 ,11 ,2 ,1 ,8 
PF,0.47 ,0.7 ,8 ,2 ,1 ,8 
C,0.50 ,0.6 ,3 ,0 ,0 ,7 
PF,0.41 ,0.9 ,0 ,0 ,0 ,2 
SG,0.49 ,0.8 ,2 ,0 ,0 ,5 
SF,0.41 ,0.6 ,2 ,0 ,0 ,3 
SG,0.45 ,1.0 ,0 ,0 ,0 ,2 
PG,0.50 ,0.8 ,1 ,2 ,0 ,3 
SG,0.46 ,0.8 ,4 ,3 ,1 ,17 
SF,0.48 ,0.7 ,4 ,1 ,1 ,10 
PG,0.49 ,0.7 ,2 ,3 ,1 ,7 
C,0.57 ,0.7 ,4 ,0 ,0 ,7 
SG,0.52 ,0.8 ,4 ,2 ,1 ,15 
PF,0.37 ,0.7 ,1 ,0 ,0 ,3 
C,0.39 ,0.4 ,1 ,0 ,0 ,1 
C,0.36 ,0.0 ,0 ,0 ,0 ,1 
SG,0.39 ,0.6 ,1 ,1 ,0 ,3 
PG,0.49 ,0.9 ,2 ,5 ,1 ,12 
C,0.59 ,0.7 ,5 ,0 ,0 ,6 
PG,0.46 ,0.7 ,2 ,5 ,1 ,12 
PG,0.43 ,0.0 ,0 ,0 ,0 ,1 
PF,0.36 ,0.7 ,0 ,0 ,0 ,1 
SG,0.32 ,0.8 ,1 ,1 ,0 ,5 
SG,0.49 ,0.9 ,3 ,3 ,1 ,18 
PF,0.50 ,0.6 ,2 ,0 ,0 ,4 
C,0.38 ,0.6 ,0 ,0 ,0 ,4 
PG,,,0 ,0 ,0 ,0 
PG,0.47 ,0.9 ,4 ,6 ,2 ,18 
C,0.55 ,0.7 ,10 ,1 ,1 ,8 
C,0.63 ,0.6 ,5 ,0 ,0 ,6 
SF,0.53 ,0.6 ,1 ,1 ,0 ,6 
PG,0.46 ,0.8 ,3 ,7 ,2 ,15 
PF,0.44 ,0.7 ,3 ,0 ,0 ,6 
PF,0.50 ,0.5 ,0 ,0 ,0 ,3 
SF,0.46 ,0.6 ,1 ,0 ,0 ,4 
SF,0.54 ,0.8 ,2 ,0 ,0 ,5 
SF,0.45 ,0.8 ,5 ,3 ,1 ,11 
SF,0.47 ,0.8 ,6 ,2 ,1 ,18 
SG,0.51 ,0.8 ,3 ,1 ,1 ,9 
PF,0.54 ,0.8 ,5 ,4 ,1 ,11 
SG,0.25 ,,0 ,0 ,0 ,1 
PG,0.33 ,0.3 ,0 ,0 ,0 ,1 
PG,0.00 ,0.0 ,0 ,0 ,0 ,1 
PG,0.50 ,0.5 ,0 ,0 ,0 ,1 
C,0.52 ,0.2 ,1 ,0 ,0 ,1 
PG,0.42 ,0.8 ,1 ,2 ,0 ,7 
PF,0.45 ,0.4 ,1 ,0 ,0 ,2 
PF,0.46 ,0.5 ,0 ,0 ,0 ,2 
PF,0.44 ,0.4 ,0 ,0 ,0 ,2 
PG,0.51 ,0.8 ,1 ,1 ,1 ,9 
SF,0.46 ,0.8 ,2 ,1 ,1 ,10 
PG,0.49 ,0.7 ,2 ,3 ,1 ,8 
SF,0.46 ,0.8 ,4 ,1 ,1 ,8 
PG,0.40 ,0.7 ,2 ,5 ,1 ,7 
C,0.52 ,0.7 ,10 ,3 ,1 ,18 
SF,0.48 ,0.8 ,3 ,1 ,0 ,10 
